"","MSSubClass","MSZoning","Street","LotShape","LandContour","LotConfig","LandSlope","BldgType","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","FireplaceQu","GarageType","GarageFinish","GarageQual","PavedDrive","MoSold","SaleType","SaleCondition","Remod","IsNew","Location","Amenities1","Amenities2","Railroad","Amenities","NeighRich"
"505","2 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","Plywood","Brk Cmn","None","CBlock",3,3,1,5,3,"GasA",3,1,"SBrkr",3,2,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"506","duplex all style/age","RM",1,4,"Lvl","Inside",2,"Duplex","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,0,"7","COD","Normal",0,0,2,0,0,1,0,1
"507","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"9","WD","Normal",1,0,3,0,0,0,0,1
"508","1 story 1946+","FV",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"9","New","Partial",0,1,4,0,0,0,0,1
"509","2 story 1945-","RM",1,4,"Lvl","Inside",2,"1Fam","Gambrel","CompShg","MetalSd","MetalSd","None","BrkTil",3,3,1,3,1,"GasA",5,1,"SBrkr",4,4,"Detchd",1,3,0,"10","WD","Normal",1,0,2,0,0,0,0,1
"510","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","BrkFace","CBlock",3,3,1,5,1,"GasA",5,1,"SBrkr",3,0,"Attchd",2,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"511","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","Wd Sdng","Wd Sdng","BrkCmn","CBlock",3,3,1,4,3,"GasA",5,1,"SBrkr",3,3,"CarPort",1,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"512","1 story PUD 1946+","RL",1,3,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"3","New","Partial",1,0,4,0,0,0,0,2
"513","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,4,2,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"514","1 story 1946+","RL",1,4,"Bnk","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",3,3,1,5,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"515","1,5 story unf","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"Grav",2,0,"SBrkr",3,0,"Detchd",1,1,2,"6","WD","Normal",1,0,3,0,0,0,0,1
"516","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","CemntBd","CmentBd","BrkFace","CBlock",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"9","New","Partial",0,1,4,0,0,0,0,2
"518","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"7","WD","Normal",1,0,4,0,0,0,0,2
"519","2 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,2,6,1,"GasA",5,1,"SBrkr",3,0,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"520","2 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gambrel","CompShg","MetalSd","MetalSd","None","BrkTil",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Detchd",1,3,2,"6","WD","Normal",1,0,3,0,0,0,0,1
"521","2 family conversion","RL",1,4,"Lvl","Inside",2,"2fmCon","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",0,0,0,0,0,"GasA",3,0,"FuseA",3,0,"No Garage",0,0,0,"8","WD","Normal",1,0,2,0,0,0,0,1
"522","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,3,1,"GasA",5,1,"FuseA",3,4,"Attchd",1,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"523","1,5 story fin","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","None","CBlock",3,3,1,5,1,"GasA",5,1,"SBrkr",3,4,"Detchd",1,3,2,"10","WD","Normal",1,0,2,0,0,0,0,1
"524","2 story 1946+","RL",1,3,"Bnk","Inside",2,"1Fam","Hip","CompShg","CemntBd","CmentBd","Stone","PConc",5,3,4,6,1,"GasA",5,1,"SBrkr",5,4,"BuiltIn",3,3,2,"10","New","Partial",1,1,1,1,1,0,1,1
"525","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"8","WD","Normal",1,0,4,0,0,0,0,2
"526","1 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,3,"Attchd",1,3,2,"4","WD","Normal",0,0,4,0,0,0,0,1
"527","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","Wd Sdng","Wd Sdng","None","CBlock",4,3,1,3,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"528","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"11","New","Partial",0,1,4,0,0,0,0,2
"529","1 story 1945-","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,2,5,1,"GasA",5,1,"SBrkr",3,0,"No Garage",0,0,0,"7","WD","Normal",1,0,1,0,0,0,0,1
"530","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Hip","CompShg","Wd Sdng","Stone","None","PConc",3,3,1,3,1,"GasA",3,1,"SBrkr",3,3,"Attchd",2,3,2,"3","WD","Alloca",1,0,3,0,0,0,0,1
"532","2 story 1945-","RM",1,3,"Lvl","FR3",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",2,2,2,1,1,"GasA",5,1,"SBrkr",3,0,"Detchd",3,3,2,"6","WD","Normal",1,0,2,0,0,2,0,1
"533","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","Slab",0,0,0,0,0,"GasA",5,1,"SBrkr",3,1,"Detchd",1,3,2,"4","WD","Normal",1,0,2,0,0,0,0,1
"534","1 story 1946+","RL",1,4,"Low","Inside",1,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","Slab",0,0,0,0,0,"GasA",2,0,"FuseF",2,0,"No Garage",0,0,0,"1","WD","Normal",1,0,2,0,0,0,0,1
"535","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",5,4,3,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"10","WD","Normal",0,0,3,0,0,0,0,1
"536","2 family conversion","RL",1,4,"Lvl","Inside",2,"2fmCon","Gable","CompShg","MetalSd","MetalSd","None","CBlock",4,3,4,6,1,"GasA",3,1,"SBrkr",3,0,"No Garage",0,0,0,"1","WD","Normal",1,0,1,0,0,0,0,1
"537","2 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"7","WD","Normal",1,0,3,0,0,0,0,1
"538","1 story 1946+","RL",1,3,"Lvl","FR2",2,"1Fam","Hip","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,4,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"4","COD","Normal",0,0,2,0,0,0,0,1
"539","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","Plywood","Plywood","BrkFace","CBlock",3,3,1,4,1,"GasA",3,1,"SBrkr",3,2,"Attchd",1,3,2,"7","WD","Normal",0,0,1,0,0,0,0,1
"540","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"5","WD","Normal",1,0,3,0,0,0,0,1
"541","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,3,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"3","WD","Normal",0,0,4,0,0,0,0,1
"542","2 story 1946+","RL",1,4,"Lvl","FR2",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,3,"BuiltIn",3,3,2,"6","WD","Normal",0,0,4,0,0,0,0,2
"543","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","None","PConc",5,3,1,2,6,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"6","WD","Normal",1,0,3,0,0,1,0,1
"544","1 story PUD 1946+","RH",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","BrkFace","PConc",4,3,3,6,2,"GasA",5,1,"SBrkr",3,0,"Attchd",3,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"545","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,4,3,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"9","New","Partial",0,1,3,0,0,0,0,1
"546","1,5 story fin","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","PConc",4,4,1,6,2,"GasA",4,1,"SBrkr",4,0,"Attchd",1,3,2,"2","WD","Normal",0,0,3,0,0,0,0,1
"547","1,5 story fin","RL",1,3,"Bnk","Inside",2,"1Fam","Gable","CompShg","BrkFace","Wd Sdng","None","BrkTil",4,3,1,3,1,"GasA",5,1,"FuseA",3,4,"Detchd",1,3,2,"5","WD","Normal",1,0,2,0,0,0,0,1
"548","split foyer","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",4,3,3,5,1,"GasA",5,1,"SBrkr",3,0,"Detchd",1,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"549","1 story 1946+","RM",1,3,"HLS","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,2,3,"GasA",3,1,"SBrkr",3,0,"Detchd",2,3,2,"6","WD","Normal",1,0,2,0,0,2,0,1
"550","2 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"11","WD","Normal",1,0,4,0,0,0,0,1
"552","1 story 1946+","RM",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","BrkFace","BrkFace","None","CBlock",3,3,1,3,1,"GasA",4,1,"FuseA",3,0,"Attchd",3,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"553","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"7","WD","Normal",0,0,4,0,0,0,0,2
"554","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",0,0,0,0,0,"GasA",5,1,"SBrkr",4,0,"Detchd",3,3,0,"5","WD","Normal",1,0,1,0,0,0,0,1
"555","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",2,3,2,"8","WD","Normal",1,0,4,0,0,0,0,2
"556","1,5 story unf","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,2,1,1,1,"GasA",3,1,"FuseA",3,4,"Detchd",1,3,2,"8","WD","Normal",1,0,2,0,0,0,0,1
"557","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",3,3,1,3,1,"GasA",3,1,"FuseA",3,3,"Attchd",3,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"559","2 story 1946+","RL",1,2,"HLS","FR2",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,4,6,1,"GasA",5,1,"SBrkr",3,3,"Attchd",1,3,2,"8","WD","Normal",1,0,3,0,0,0,0,1
"560","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,4,1,1,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"10","WD","Normal",1,0,4,0,0,0,0,1
"561","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",4,3,1,5,1,"GasA",3,1,"SBrkr",3,4,"Detchd",1,3,2,"5","WD","Normal",1,0,1,0,0,0,0,1
"562","1 story 1946+","RL",1,4,"Lvl","Inside",1,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",4,3,3,5,2,"GasA",4,1,"SBrkr",3,3,"Attchd",2,3,2,"4","WD","Normal",1,0,2,0,0,0,0,1
"563","1 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","WdShing","Wd Shng","None","CBlock",3,3,1,4,1,"GasA",5,1,"SBrkr",3,4,"No Garage",0,0,2,"7","WD","Normal",1,0,1,0,0,0,0,1
"565","2 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"7","WD","Normal",1,0,4,0,0,0,0,2
"566","2 story 1945-","RL",1,4,"Bnk","Corner",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc",4,3,1,1,1,"GasA",3,0,"FuseF",2,0,"Detchd",1,3,2,"5","WD","Normal",1,0,1,0,0,0,0,1
"567","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,4,1,1,1,"GasA",5,1,"SBrkr",5,4,"BuiltIn",3,3,2,"6","WD","Normal",1,0,4,0,0,0,0,2
"568","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"3","WD","Normal",0,0,4,0,0,0,0,2
"569","1,5 story fin","RL",1,3,"Low","Inside",1,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",4,3,4,6,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,4,2,"9","WD","Normal",1,0,3,0,0,0,0,1
"570","duplex all style/age","RL",1,3,"Lvl","Corner",2,"Duplex","Gable","CompShg","MetalSd","MetalSd","None","CBlock",4,3,4,6,1,"GasA",3,1,"SBrkr",3,3,"Detchd",1,3,2,"12","WD","Normal",0,0,2,0,0,0,0,1
"571","duplex all style/age","RL",1,3,"Lvl","Inside",2,"Duplex","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,2,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"11","WD","Normal",0,0,2,0,0,0,0,1
"573","2 story 1946+","RL",1,3,"HLS","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",5,3,3,1,1,"GasA",4,1,"SBrkr",4,0,"Attchd",2,3,2,"7","New","Partial",0,1,4,0,0,0,0,1
"574","split/multi level","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",3,3,"BuiltIn",2,3,2,"12","WD","Normal",0,0,3,0,0,0,0,1
"575","split/multi level","RL",1,4,"Lvl","FR2",2,"1Fam","Gambrel","CompShg","MetalSd","AsphShn","BrkFace","CBlock",3,3,3,5,1,"GasA",3,1,"SBrkr",3,0,"BuiltIn",1,3,2,"12","WD","Normal",1,0,2,0,0,0,0,1
"577","1,5 story fin","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"GasA",4,1,"SBrkr",3,4,"Detchd",1,3,2,"8","WD","Normal",1,0,1,0,0,0,0,1
"580","1,5 story fin","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","BrkFace","BrkTil",3,3,1,1,1,"GasA",5,0,"FuseF",3,0,"Attchd",1,2,2,"11","WD","Normal",0,0,2,0,0,0,0,1
"581","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,4,3,"GasA",5,1,"SBrkr",4,4,"Attchd",1,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"582","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,1,1,1,"GasA",5,1,"SBrkr",5,4,"Attchd",2,3,2,"8","New","Partial",1,0,4,0,0,0,0,2
"583","duplex all style/age","RL",0,4,"Lvl","Inside",2,"Duplex","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",4,3,3,6,1,"GasA",3,1,"SBrkr",3,0,"No Garage",0,0,2,"5","WD","Normal",0,0,1,0,0,0,0,1
"584","2,5 story all ages","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"GasA",4,1,"SBrkr",4,4,"Detchd",1,4,2,"7","WD","Normal",1,0,2,0,1,1,1,1
"585","1,5 story fin","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","AsbShng","AsbShng","None","BrkTil",3,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Detchd",1,3,2,"7","WD","Normal",1,0,2,0,0,0,0,1
"586","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,4,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"3","New","Partial",1,0,4,0,0,0,0,1
"587","1 story 1945-","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Stucco","Wd Shng","None","BrkTil",3,4,2,3,5,"GasA",5,1,"SBrkr",2,0,"Detchd",3,3,0,"5","WD","Normal",1,0,2,0,0,1,0,1
"588","split foyer","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","None","CBlock",3,3,3,5,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"7","WD","Normal",0,0,1,0,0,0,0,1
"589","1 story 1946+","RL",1,3,"Low","Inside",0,"1Fam","Flat","Tar&Grv","Wd Sdng","Wd Sdng","None","CBlock",3,3,4,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",1,3,2,"6","WD","Partial",1,0,2,0,0,0,0,1
"590","1 story unf attic","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","BrkTil",3,3,1,1,1,"GasA",3,1,"FuseA",3,0,"Detchd",1,3,1,"8","WD","Normal",1,0,2,0,0,1,0,1
"591","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"9","WD","Normal",0,0,3,0,0,0,0,1
"592","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","Stone","PConc",5,3,4,6,1,"GasA",5,1,"SBrkr",5,4,"BuiltIn",2,3,2,"6","ConLI","Normal",0,0,4,0,0,0,0,2
"593","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","PConc",3,4,1,6,1,"GasA",5,1,"SBrkr",3,0,"Detchd",3,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"594","1 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",3,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"595","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","None","CBlock",4,3,1,1,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"596","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","Other","BrkFace","PConc",4,3,4,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"8","New","Partial",1,0,4,0,0,0,0,2
"597","2 story 1945-","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,1,1,"GasA",5,0,"FuseA",3,0,"Detchd",1,3,0,"10","WD","Normal",1,0,2,0,0,0,0,1
"598","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"2","New","Partial",1,0,4,0,0,0,0,1
"599","1 story 1946+","RL",1,4,"Bnk","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","BrkFace","CBlock",4,3,2,5,2,"GasA",5,1,"SBrkr",4,3,"Attchd",3,3,2,"3","WD","Normal",0,0,3,0,0,0,0,1
"600","2 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","MetalSd","MetalSd","None","CBlock",4,3,1,2,6,"GasA",3,1,"SBrkr",3,3,"Attchd",3,3,2,"7","COD","Normal",0,0,3,0,0,0,0,1
"601","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",5,4,"BuiltIn",3,3,2,"6","WD","Normal",0,0,4,0,0,0,0,2
"602","1,5 story fin","RM",1,4,"Bnk","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc",3,3,1,1,1,"GasA",3,1,"SBrkr",4,4,"Detchd",1,3,1,"12","WD","Normal",1,0,1,0,0,0,0,0
"604","2 story PUD 1946+","FV",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","MetalSd","MetalSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Detchd",2,3,2,"6","WD","Normal",1,0,4,0,0,0,0,1
"605","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,2,6,1,"GasA",5,1,"SBrkr",4,3,"Attchd",2,3,2,"9","WD","Normal",0,0,3,0,0,0,0,1
"606","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,4,1,"GasA",3,1,"SBrkr",3,2,"Attchd",1,3,2,"10","WD","Normal",1,0,2,0,0,0,0,1
"607","1 story 1946+","RL",1,2,"Low","Corner",1,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",4,1,"SBrkr",4,0,"Detchd",1,3,2,"11","WD","Normal",0,0,3,0,0,0,0,1
"608","1 story 1946+","RL",1,4,"Bnk","Inside",1,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,4,1,6,1,"GasA",5,1,"SBrkr",5,0,"Attchd",1,3,2,"8","WD","Normal",1,0,1,0,0,0,0,1
"609","2 story 1945-","RL",1,4,"HLS","Inside",1,"1Fam","Gable","CompShg","BrkFace","Wd Sdng","None","PConc",4,3,2,4,1,"GasA",3,1,"SBrkr",3,4,"Basment",1,3,2,"9","WD","Alloca",1,0,3,0,0,0,0,1
"610","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkCmn","CBlock",3,3,2,3,1,"GasA",4,1,"SBrkr",3,0,"Attchd",1,3,2,"4","WD","Normal",0,0,1,0,0,0,0,1
"611","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,2,6,1,"GasA",5,1,"SBrkr",5,5,"Attchd",3,3,2,"5","WD","Normal",0,0,3,1,0,0,1,1
"612","split/multi level","RL",1,3,"Lvl","FR2",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",4,3,3,5,1,"GasA",3,1,"SBrkr",3,3,"Attchd",1,3,2,"7","WD","Normal",0,0,3,0,0,0,0,1
"613","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",5,3,"BuiltIn",2,3,2,"11","WD","Normal",0,0,3,0,0,0,0,1
"614","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,5,1,"GasA",5,1,"SBrkr",3,0,"No Garage",0,0,2,"12","New","Partial",0,1,2,0,0,0,0,1
"615","PUD multilevel","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","CemntBd","CmentBd","None","CBlock",4,3,3,2,6,"GasA",5,1,"SBrkr",3,0,"No Garage",0,0,2,"5","WD","Normal",0,0,1,0,0,0,0,0
"617","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",3,3,2,"6","WD","Normal",1,0,3,0,0,0,0,1
